--- TEST 3.0: Skalowalność (Czas i Błąd vs Rozmiar) ---
Parametr/Instancja             |    Średni Koszt |   Śr. Czas [ms] |   Błąd PRD
-------------------------------------------------------------------------------
br17.atsp (17)                 |           39.00 |          344.90 |      0.00%
ftv33.atsp (34)                |         1308.80 |          673.90 |      1.77%
p43.atsp (43)                  |         5621.70 |         1000.60 |      0.03%
ft53.atsp (53)                 |         6956.50 |         1189.10 |      0.75%
ft70.atsp (70)                 |        39208.30 |         1658.50 |      1.38%
kro124p.atsp (100)             |        37135.60 |         2711.70 |      2.50%
ftv170.atsp (171)              |         3007.00 |         5138.20 |      9.15%
rbg323.atsp (323)              |         1379.70 |        11217.50 |      4.05%
rbg403.atsp (403)              |         2470.50 |        16710.30 |      0.22%
rbg443.atsp (443)              |         2728.30 |        18869.00 |      0.31%

--- TEST 3.5: Rozwiązanie początkowe (10 prób na wariant, różne instancje) ---
Parametr/Instancja             |    Średni Koszt |   Śr. Czas [ms] |   Błąd PRD
-------------------------------------------------------------------------------
br17.atsp (Losowe)             |           39.00 |           76.10 |      0.00%
br17.atsp (Zachłanne)          |           39.00 |           77.50 |      0.00%
ftv33.atsp (Losowe)            |         1314.90 |          167.10 |      2.25%
ftv33.atsp (Zachłanne)         |         1327.50 |          167.40 |      3.23%
p43.atsp (Losowe)              |         5623.70 |          246.50 |      0.07%
p43.atsp (Zachłanne)           |         5626.40 |          250.40 |      0.11%
ft53.atsp (Losowe)             |         7093.20 |          295.40 |      2.73%
ft53.atsp (Zachłanne)          |         7101.80 |          297.10 |      2.85%
ft70.atsp (Losowe)             |        39372.70 |          415.60 |      1.81%
ft70.atsp (Zachłanne)          |        39533.90 |          413.30 |      2.23%
kro124p.atsp (Losowe)          |        37836.00 |          677.50 |      4.43%
kro124p.atsp (Zachłanne)       |        37679.70 |          677.00 |      4.00%
ftv170.atsp (Losowe)           |         3152.80 |         1238.50 |     14.44%
ftv170.atsp (Zachłanne)        |         3148.10 |         1252.80 |     14.27%
rbg323.atsp (Losowe)           |         1410.10 |         2708.40 |      6.34%
rbg323.atsp (Zachłanne)        |         1424.30 |         2926.40 |      7.41%
rbg403.atsp (Losowe)           |         2472.80 |         3918.90 |      0.32%
rbg403.atsp (Zachłanne)        |         2476.20 |         4030.30 |      0.45%
rbg443.atsp (Losowe)           |         2735.10 |         4569.70 |      0.56%
rbg443.atsp (Zachłanne)        |         2733.20 |         4734.80 |      0.49%

--- TEST 4.0: Schematy chłodzenia (10 prób na wariant, różne instancje) ---
Parametr/Instancja             |    Średni Koszt |   Śr. Czas [ms] |   Błąd PRD
-------------------------------------------------------------------------------
br17.atsp (Geometric)          |           39.00 |           75.60 |      0.00%
br17.atsp (Linear)             |           39.00 |          491.20 |      0.00%
br17.atsp (Lundy-Mees)         |           39.00 |        49810.50 |      0.00%
ftv33.atsp (Geometric)         |         1332.30 |          167.10 |      3.60%
ftv33.atsp (Linear)            |         1370.00 |         1052.50 |      6.53%
ftv33.atsp (Lundy-Mees)        |         1304.30 |       100204.10 |      1.42%
p43.atsp (Geometric)           |         5624.10 |          250.80 |      0.07%
p43.atsp (Linear)              |         5699.90 |         1404.30 |      1.42%
p43.atsp (Lundy-Mees)          |         5621.50 |       133012.90 |      0.03%
ft53.atsp (Geometric)          |         7061.40 |          295.70 |      2.27%
ft53.atsp (Linear)             |         7333.80 |         1775.70 |      6.21%
ft53.atsp (Lundy-Mees)         |         7240.70 |       165045.40 |      4.86%
ft70.atsp (Geometric)          |        39442.30 |          413.20 |      1.99%
ft70.atsp (Linear)             |        40287.70 |         2484.90 |      4.18%
ft70.atsp (Lundy-Mees)         |        40058.80 |       225833.20 |      3.58%
kro124p.atsp (Geometric)       |        37857.70 |          677.40 |      4.49%
kro124p.atsp (Linear)          |        41746.80 |         3811.70 |     15.23%
